S/N,.name, .prc, .dsct 
82, TP-Link 300Mbps Wireless N 4G LTE Router TL-MR6400 SIM CARD,₦ 45000, 
83, TP Link AC1350 Wireless Dual Band Router Archer C60- White,₦ 31300, 
84, Huawei Battery For Pocket Mobile WifisMifisand Routers,1,500mAh,₦ 6000, 
85, TP Link TP-Link WA850RE WiFi Range Extender - 300Mbps,₦ 13995, 
86, Huawei HB434666RBC Wifi Mifi Battery For Portable MIFI,₦ 2375, 
87, Hp V194 18.5-inches 16:9 LED Backlit Monitor,₦ 89000, 
88, Hp 200G4 PentiumJ504021.5All-in- / 4GB / 1TB HDD /,₦ 327227, 
89, Hp 20-C403nh All-In-One Intl Cel-J4005u 4gb 500gb 19.5" Led Scrn, Windows 10 Home - 64 Bit 4MQ82EA,₦ 264600, 
90, Hp ALL IN ONE 22 PC INTEL PENTIUM 4GB/1TB WIN 10 HOME 64,₦ 310000, 
91, Hp Desktop - M01-D0016nhm 8GB 1TB HDD,₦ 367312, 
92, Hp 290 G4 MT 4GB/1TB HDD, F/DOS +18.5"MONITOR,₦ 225900, 
93, Hp Desktop M01-D0012nhm PC Intel® Core™ I3-8100 4GB/1TB +18.5″ Monitor – Win 10 (8XE20EA),₦ 322335, 
94, Hp V194 18.5 LCD MONITOR V5E94AA,₦ 91000, 
95, Hp P244 Monitor,₦ 102000, 
96, Hp ENVY AIO 32 PC INTEL CORE I5 10 GEN 32GB/1TB/256GB WIN10,₦ 1420000, 
97, Hp AIO 24-df1007d Intel® Core™ I5-1135G7 8GB/1TB Win10,₦ 588370, 
98, Hp V270 27" FHD (1080p) DVI-D VGA HDMI Backlit IPS LED Monitor,₦ 137800, 
99, DELL 24-inch Screen With Full HD Resolution -Black,₦ 115000, 
100, Hp 22er 21.5-inch LED Backlit Monitor -,₦ 140000, 
101, Hp 27es 27” Display Diagonal IPS LED BACKLIT VGA - HDMI Monitor,₦ 192000, 
